smiles,mol_id,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,LogP,HBD,HBA,TPSA
CC(C)(C)CC(C)(C)N,TOX1886,0,0,0,0,0,0,0,0,0,0,0,0,129.247,2.1599,1,1,26.02
CC(=O)CC(C)C,TOX1889,0,0,0,0,0,0,0,0,0,0,0,0,100.161,1.6215,0,1,17.07
CCCC(C)=O,TOX1888,0,0,0,0,0,0,0,0,0,0,0,0,86.134,1.3755,0,1,17.07
Nc1nc2ccccc2[nH]1,TOX4465,0,0,1,0,0,0,0,0,0,0,0,0,133.154,1.1451,2,2,54.7
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,TOX1106,0,,1,,,0,,1,0,0,1,1,266.338,4.6592,1,1,20.23
c1ccc(-c2ccccc2)cc1,TOX161,0,0,0,0,0,0,0,0,0,0,0,0,154.212,3.3536,0,0,0
CNC(=O)Nc1ccc(Cl)c(Cl)c1,TOX22180,0,0,1,0,0,,0,0,0,0,,0,219.071,2.7447,2,1,41.13
CC(=O)Nc1ccc(C)c(Cl)c1,TOX22181,0,0,0,0,,0,0,0,0,0,,0,183.638,2.60682,1,1,29.1
CCCCNC(=S)NCCCC,TOX22187,0,0,0,0,0,0,0,0,0,1,0,0,188.34,2.0507,2,1,24.06
CCCCNC(=O)NCCCC,TOX22188,0,0,0,0,0,0,0,0,0,0,0,0,172.272,1.8858,2,1,41.13
CC(C)N(c1ccccc1)C(C)C,TOX22189,0,0,0,0,0,0,0,0,0,0,0,0,177.291,3.3098,0,1,3.24
CCc1cccc(C)c1,TOX7876,0,0,0,0,0,0,0,0,0,0,0,0,120.195,2.55742,0,0,0
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,TOX7877,0,0,0,0,0,0,0,,0,0,0,0,438.633,9.3187,0,3,27.69
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,TOX7875,0,0,0,,0,0,0,0,0,1,0,0,356.547,4.9203,2,4,66.76
CCCCCCCCCCC=CC1CC(=O)OC1=O,TOX7870,0,0,0,0,0,0,0,1,0,0,0,0,266.381,4.1631,0,3,43.37
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,TOX4110,0,0,,0,0,,,0,0,,1,,502.92,7.39568,1,5,71.35
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],TOX4112,0,0,0,0,0,0,0,0,0,0,0,0,438.767,3.7487,1,6,115.61
CCOP(=S)(CC)Sc1ccccc1,TOX4113,0,0,0,1,,0,0,0,0,0,0,0,246.337,4.1446,0,3,9.23
CC/C=C\CCCCO,TOX27698,0,0,0,0,0,0,0,0,0,0,0,0,128.215,2.1152,1,1,20.23
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,TOX27695,,0,1,,1,0,0,1,1,0,1,0,263.296,3.6412,1,3,52.32
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,TOX24280,0,0,1,0,0,0,0,,0,0,0,0,324.424,3.1732,1,4,45.59
CC(=O)CCC(C)=O,TOX10138,0,0,0,0,0,0,0,0,0,0,0,0,114.144,0.9446,0,2,34.14
N#CCCNCCC#N,TOX21464,0,0,0,0,0,0,0,0,0,0,0,0,123.159,0.40336,1,3,59.61
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,TOX21728,0,0,0,0,0,0,0,,0,0,,0,634.692,7.2934,0,12,182.3
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,TOX21721,0,0,,0,0,0,0,1,0,0,,0,431.403,1.2058,0,9,161.43
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,TOX21726,0,0,0,,,0,0,1,0,0,,0,629.632,6.4367,2,12,213.17
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,TOX24000,0,0,0,,0,0,,0,0,0,,0,356.56,4.4043,0,4,6.48
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,TOX24002,0,0,0,,0,0,,,0,0,,0,318.339,3.2015,1,4,56.84
Cc1ccccc1CCO,TOX27071,0,0,0,0,0,0,0,0,0,0,0,0,136.194,1.52982,1,1,20.23
Cc1nc(C)c(C)nc1C,TOX27070,0,0,0,0,0,0,0,0,0,0,0,0,136.198,1.71028,0,2,25.78
CC1=CC(O)CC(C)(C)C1,TOX27072,0,0,0,0,0,0,0,0,0,0,0,0,140.226,2.1136,1,1,20.23
Cc1cnc(C)c(C)n1,TOX27075,0,0,0,0,0,0,0,0,0,0,0,0,122.171,1.40186,0,2,25.78
CC(C)COC(=O)c1ccccc1,TOX27074,0,0,0,0,,0,0,0,0,0,0,0,178.231,2.4994,0,2,26.3
C=C(C)[C@@H]1CC=C(C)CC1,TOX27078,0,0,0,0,,0,0,0,0,0,0,0,136.238,3.3089,0,0,0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],TOX19719,0,0,0,0,0,0,0,0,0,0,0,0,164.086,-0.859,0,6,132.4
Nc1ccc(N)c([N+](=O)[O-])c1,TOX957,0,0,1,0,,0,0,1,0,0,1,,153.141,0.7592,2,4,95.18
CC1COc2ccccc2N1,TOX24915,0,0,1,,0,0,0,0,0,0,,0,149.193,1.8794,1,2,21.26
O=C(O)c1cc(Cl)cc(Cl)c1O,TOX24914,0,0,0,0,0,0,0,0,0,0,,0,207.012,2.3972,2,2,57.53
CCCCCCCCCCCC(=O)NCCCN(C)C,TOX24913,0,,0,,,,,,0,,,,284.488,3.9752,1,2,32.34
CC(C)CCCCCOC(=O)CCS,TOX24911,0,0,0,0,0,0,0,0,0,0,0,0,218.362,3.0659,1,3,26.3
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,TOX956,0,0,0,0,0,0,0,0,0,0,0,0,263.037,-1.1386,3,4,120.9
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,TOX24919,0,0,0,0,0,0,0,0,0,0,0,1,398.568,1.9721,3,9,78.9
C=CCOc1c(Br)cc(Br)cc1Br,TOX24918,0,0,1,0,0,0,0,0,0,0,,0,370.866,4.5389,0,1,9.23
F[B-](F)(F)F.[H+],TOX9739,0,0,0,0,0,0,0,,0,0,0,0,87.812,1.4125,0,0,0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,TOX9733,0,0,0,0,0,0,0,0,0,0,0,0,156.269,2.4395,1,1,20.23
C(=C/c1ccccc1)\c1ccccc1,TOX6050,0,0,1,,1,0,0,1,0,0,,0,180.25,3.857,0,0,0
Cc1ccc2c(ccc3ccccc32)c1,TOX5649,0,0,,,,0,0,0,0,0,,0,192.261,4.30142,0,0,0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,TOX2968,0,0,0,0,0,0,0,0,0,0,0,0,266.257,-1.1934,0,8,80.28
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,TOX2967,0,0,0,0,1,1,0,,0,0,0,1,246.194,-1.6852,3,6,104.55
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,TOX2614,0,0,1,,,0,0,1,0,,,0,267.328,2.8499,2,3,43.7
COC(=O)C1=CCCN(C)C1,TOX2617,0,0,0,0,0,0,0,0,0,0,0,0,155.197,0.4213,0,3,29.54
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,TOX2611,,,,,,,,0,,0,,,252.269,2.858,0,3,43.37
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],TOX5642,0,0,0,0,0,0,0,0,0,0,0,0,181.147,1.60142,1,3,80.44
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],TOX5641,0,0,0,0,0,0,0,0,0,0,0,0,181.147,1.60142,1,3,80.44
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,TOX2612,0,0,0,0,0,0,0,,0,,0,0,282.448,3.5158,0,2,26.3
CCCCCC(C)O,TOX27158,0,0,0,0,0,0,0,0,0,0,0,0,116.204,1.9475,1,1,20.23
O=C([O-])c1ccccc1O,TOX1708,0,0,0,0,0,0,0,0,0,0,,0,137.114,-0.2443,1,3,60.36
NC(=O)c1ccccc1,TOX1709,0,0,0,0,0,0,0,0,0,0,0,0,121.139,0.7855,1,1,43.09
CCN1CCc2nc(N)oc2CC1,TOX25756,,,,,,,,0,,0,,,181.239,0.6773,1,4,55.29
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,TOX25757,0,0,0,,,0,0,,0,,,0,361.529,4.8448,1,2,23.47
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,TOX9559,0,0,0,0,0,0,0,0,0,0,0,0,278.221,-3.6125,5,7,153.88
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,TOX25755,,0,0,0,0,0,0,,0,,0,0,333.138,-0.4571,3,6,104.55
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,TOX25752,0,0,0,0,0,0,,0,0,0,,0,363.505,3.3085,1,4,29.95
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,TOX25753,0,0,0,0,0,0,0,0,0,0,0,0,266.341,0.4521,3,4,84.58
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,TOX25750,0,,0,,,0,,1,0,0,0,0,401.501,4.224,1,2,35.58
Nc1ccc([N+](=O)[O-])cc1N,TOX958,0,0,1,0,1,1,0,1,0,,1,0,153.141,0.7592,2,4,95.18
[I-].[K+],TOX14836,0,0,0,0,0,0,0,0,0,0,0,0,166.002,-5.992,0,0,0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,TOX4786,0,0,0,0,0,0,0,0,0,0,0,0,354.311,-0.6459,6,8,164.75
Oc1nc(Cl)c(Cl)cc1Cl,TOX18317,0,,1,,0,0,,1,0,0,1,0,198.436,2.7474,1,2,33.12
C/C=C/C=C/C=O,TOX5391,0,0,0,0,0,0,0,1,0,0,0,0,96.129,1.3176,0,1,17.07
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,TOX4781,1,,0,,,0,,1,0,0,,0,270.55,3.1752,0,4,86.28
C[Si](C)(C)N[Si](C)(C)C,TOX5395,0,0,0,0,0,1,0,0,0,0,0,0,161.397,2.2458,1,1,12.03
C=CC(=O)OCCCl,TOX4783,0,0,0,0,0,0,0,,0,0,0,0,134.562,0.9544,0,2,26.3
COCC(C)N(C(=O)CCl)c1c(C)csc1C,TOX12376,0,0,0,1,0,0,,1,0,0,,0,275.801,2.97164,0,3,29.54
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,TOX25538,0,0,0,0,0,0,0,,0,0,0,0,525.642,-0.6532,3,13,172.46
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],TOX12375,0,0,,0,0,0,0,0,0,0,0,0,333.274,1.269,2,5,106.51
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,TOX12372,0,0,0,,,,,1,,0,,,406.269,4.6655,0,6,58.4
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,TOX25533,0,0,0,0,0,0,0,0,0,0,0,0,383.532,4.4526,0,4,38.77
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25530,0,0,0,0,0,0,0,0,0,0,0,0,324.449,0.612,2,6,106.33
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25531,0,0,0,0,0,0,0,0,0,0,0,0,383.517,0.0869,2,7,118.8
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,TOX25536,0,0,0,0,0,0,0,0,0,0,0,0,339.483,3.3619,1,3,59.22
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,TOX25537,0,0,0,0,0,0,0,,0,,,0,326.44,1.5545,2,4,46.94
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,TOX25534,1,0,0,,0,,0,0,,0,,0,434.504,2.2747,2,6,93.06
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,TOX12379,0,0,0,,0,0,0,0,0,0,,0,401.422,5.2429,0,5,47.03
O=C(O)/C=C(\CC(=O)O)C(=O)O,TOX28632,0,0,0,0,,0,0,0,0,0,0,0,174.108,-0.4433,3,3,111.9
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,TOX28633,0,0,0,0,0,0,0,,0,,0,0,1045.716,22.6118,0,4,52.6
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,TOX28630,,,,,,,,0,,0,,,180.156,-3.3772,5,6,118.22
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,TOX14792,0,0,0,,,0,,1,0,,,1,267.306,1.3016,1,4,72.47
CNCC(=O)c1ccc(O)c(O)c1,TOX28636,,,,,,,,0,,0,,,181.191,0.4999,3,4,69.56
CC(C)(C)C1CCC(=O)CC1,TOX24394,0,0,0,,0,0,0,0,0,1,0,0,154.253,2.7918,0,1,17.07
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,TOX3568,0,0,0,0,0,0,0,0,0,0,0,0,527.574,0.4698,6,10,170.87
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,TOX28634,0,0,,0,0,0,0,,0,,0,,270.763,3.6272,0,2,15.6
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,TOX3565,0,0,0,0,0,0,0,,0,,0,0,269.352,1.9118,1,4,49.74
CCCCC(=O)[O-],TOX28635,0,0,0,0,0,0,0,,0,,0,0,101.125,-0.0735,0,2,40.13
CCCCCCCCCCCCCC(=O)OC,TOX7019,0,0,0,0,0,0,0,0,0,0,0,0,242.403,4.8605,0,2,26.3
Nc1ccncc1N,TOX26715,,,,,,,,0,,0,,,109.132,0.246,2,3,64.93
CCCCCCC(C)O,TOX7014,0,0,0,0,0,0,0,0,0,0,0,0,130.231,2.3376,1,1,20.23
CCC[Si](OC)(OC)OC,TOX22494,0,0,0,0,0,0,0,0,0,0,0,0,164.277,1.2745,0,3,27.69
CC1=C(CC=O)C(C)(C)CCC1,TOX27088,0,0,0,0,0,0,0,0,0,0,0,0,166.264,3.102,0,1,17.07
NCCNCCNCCN,TOX3702,0,0,0,0,,0,0,0,0,0,0,0,146.238,-1.917,4,4,76.1
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,TOX3706,1,1,0,,1,0,0,1,0,0,,1,329.44,3.46688,2,4,76.78
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,TOX4280,0,0,1,1,,0,0,1,0,0,0,0,342.226,3.6534,0,5,49.17
Cc1ccc(N)c(N)c1,TOX4930,0,0,1,0,1,1,0,1,1,1,,0,122.171,1.15942,2,2,52.04
CCCCCNCCCCC,TOX4931,0,0,0,0,0,0,0,0,0,0,0,0,157.301,2.9564,1,1,12.03
COCC(C)O,TOX4284,0,0,0,0,1,0,0,0,0,0,0,0,90.122,0.0136,1,2,29.46
c1ccc2c(c1)Oc1ccccc1S2,TOX4937,0,0,0,0,1,0,0,0,0,0,1,0,200.262,3.9435,0,2,9.23
CC1CN1,TOX4286,0,0,0,0,0,0,0,0,0,0,0,0,57.096,-0.0219,1,1,21.94
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,TOX4287,0,0,0,0,0,0,0,0,0,0,0,0,289.335,1.6333,2,4,91.65
NCC(=O)CCC(=O)O,TOX25914,,,,,,,,,,0,,,131.131,-0.621,2,3,80.39
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,TOX25447,0,,,1,0,,0,,0,1,0,,416.135,6.4548,0,3,27.05
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,TOX175,0,0,0,0,0,0,0,0,0,0,1,0,402.064,6.6748,0,4,44.24
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,TOX25916,0,0,1,0,,0,0,0,0,0,1,0,406.482,3.738,3,5,75.74
ClCOCCl,TOX173,0,0,0,0,1,0,0,0,0,0,0,0,114.959,1.3956,0,1,9.23
CC(O)CNCC(C)O,TOX179,0,0,0,0,0,0,0,0,0,0,0,0,133.191,-0.6624,3,3,52.49
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,TOX13979,0,0,,0,0,0,0,0,0,0,0,0,407.571,2.114,3,5,100.82
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,TOX17262,0,0,0,,,0,0,1,0,0,0,0,341.495,4.26498,1,3,61.09
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,TOX25007,0,0,0,0,0,0,0,,0,0,0,0,247.038,-0.8442,2,3,100.67
CCOC(=O)C1OC1c1ccccc1,TOX5886,0,0,0,0,0,0,0,,0,0,0,0,192.214,1.6896,0,3,38.83
ONc1ccccc1,TOX5889,0,0,1,,1,0,0,,0,0,,0,109.128,1.4877,2,2,32.26
O=CC(=O)c1ccccc1,TOX5888,0,0,0,0,0,0,0,0,0,,0,0,134.134,1.0682,0,2,34.14
[Cu]I,TOX21803,0,0,0,0,,0,0,,0,1,0,0,190.45,0.8832,0,0,0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],TOX21530,0,0,0,0,0,0,0,0,0,0,0,0,293.449,3.8745,0,4,66.43
ClCc1ccc(Cl)cc1Cl,TOX25005,0,0,0,0,0,0,0,,0,0,,,195.476,3.7322,0,0,0
O=C(O)CCCCCCCCC(=O)O,TOX6867,0,0,0,0,0,0,0,0,0,0,0,0,202.25,2.2764,2,2,74.6
CCCCCCCC(=O)OC,TOX6864,0,0,0,0,0,0,0,0,0,0,0,0,158.241,2.5199,0,2,26.3
CC(O)COCC(C)O,TOX6863,0,0,0,0,0,0,0,0,0,0,0,0,134.175,-0.2354,2,3,49.69
Cc1ccc(C(=O)C(=O)[O-])cc1C,TOX31626,,,,,,,,0,,0,,,177.179,0.23604,0,3,57.2
O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,TOX26644,0,,0,0,0,0,0,0,0,0,0,0,281.291,1.2133,0,5,67.18
Cc1ncc[nH]1,TOX2107,0,0,1,0,0,0,0,0,0,0,0,0,82.106,0.71812,1,1,28.68
COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,TOX27268,0,,0,1,,0,1,,0,0,,,332.365,2.0916,1,7,100.33
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,TOX27264,0,0,1,,1,0,0,0,1,0,,0,359.397,2.3093,3,5,73.16
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,TOX27265,0,0,0,0,0,0,0,,0,0,,0,466.487,2.9016,3,6,133.24
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,TOX27266,0,0,0,0,,0,0,,0,0,0,0,410.423,1.9509,3,6,113.96
Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,TOX27267,0,0,0,,0,0,0,,0,0,0,0,343.435,1.43534,1,8,91.16
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,TOX27261,0,0,0,0,0,0,0,1,0,0,,0,265.334,2.7348,1,4,59.3
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,TOX27262,0,,0,0,0,0,,0,0,0,0,0,483.674,6.20322,3,6,92.78
CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,TOX27263,0,0,,0,0,0,0,,0,0,0,0,284.319,1.78122,2,5,79.51
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],TOX26647,1,1,0,,1,,0,,0,,0,0,440.429,0.6346,2,8,147.02
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,TOX28974,,,,,,,,0,,0,,,285.774,4.2585,0,2,12.47
CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,TOX3721,0,0,0,0,0,0,0,,0,,0,0,813.979,3.6209,0,16,184.19
CO[Si](C)(C)OC,TOX22379,0,0,0,0,0,0,0,0,0,0,0,0,120.224,0.981,0,2,18.46
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,TOX20283,0,0,0,,0,0,,,0,0,1,0,267.155,4.2492,1,1,20.23
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,TOX20287,0,0,1,1,,0,0,1,0,0,1,0,290.75,4.2258,1,2,41.57
CC(=O)c1ccccc1O,TOX20285,0,0,0,,0,0,0,0,0,0,0,0,136.15,1.5948,1,2,37.3
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,TOX20284,0,0,0,0,0,0,1,0,0,0,0,0,239.485,3.2739,1,1,37.3
O=C(O)c1cccc(Cl)n1,TOX20289,0,0,0,0,0,0,0,0,0,,0,0,157.556,1.4332,1,2,50.19
